Date,Visitor,PTS,Home,PTS_2
2021-12-09,Merrimack,55,Gonzaga,80
2021-12-09,Iowa,53,Iowa State,73
2021-12-10,Yellowstone ,43,Montana,104
2021-12-10,App State,65,Furman,73
2021-12-10,IU Indy,44,Tennessee St,70
2021-12-10,MORAVIAN,55,Delaware,94
2021-12-10,Vermont,70,Brown,65
2021-12-10,Army,66,NJIT,49
2021-12-10,High Point,66,SC State,67
2021-12-10,Midway,39,Bellarmine,89
2021-12-10,Green Bay,55,Kansas City,64
2021-12-10,Murray St,74,Memphis,72
2021-12-10,Loyola Chicago,69,Vanderbilt,58
2021-12-10,DePaul,62,Louisville,55
2021-12-10,CSU Northridge,54,N Dakota St,68
2021-12-10,Prairie View,60,Boise St,97
2021-12-10,Milwaukee,54,Colorado,65
2021-12-11,UCLA,67,Marquette,56
2021-12-11,Missouri,65,Kansas,102
2021-12-11,Houston,82,Alabama,83
2021-12-11,Kentucky,62,Notre Dame,66
2021-12-11,Arizona,83,Illinois,79
2021-12-11,Arkansas,66,Oklahoma,88
2021-12-11,UNC Greensboro,36,Tennessee,76
2021-12-11,Penn State,64,Michigan St,80
2021-12-11,Wisconsin,55,Ohio State,73
2021-12-11,BYU,71,Creighton,83
2021-12-12,Long Beach St,62,USC,73
2021-12-12,Jackson St,37,Iowa State,47
2021-12-13,N Illinois,70,Chicago St,59
2021-12-13,UMBC,77,Princeton,89
2021-12-13,Erskine,44,App State,69
2021-12-13,JohnsonFL,58,Stetson,104
2021-12-13,Blue Mountain,69,Nicholls,87
2021-12-13,Merch Marn,48,Long Island,106
2021-12-13,Radford,58,G Washington,67
2021-12-13,Keene State,54,New Hampshire,92
2021-12-13,Carver,36,Liberty,95
2021-12-13,LaGrange,80,Jax State,110
2021-12-13,Cleveland St,93,Oklahoma St,98
2021-12-13,Rhode Island,82,Milwaukee,58
2021-12-13,Sacred Heart,79,Columbia,69
2021-12-13,UAlbany,61,Boston College,57
2021-12-13,Indiana St,70,N Dakota St,77
2021-12-13,Nelson,49,Montana,118
2021-12-13,Cal Poly,77,Portland,78
2021-12-14,SC State,62,Duke,103
2021-12-14,Alabama,78,Memphis,92
2021-12-14,North Alabama,44,Auburn,70
2021-12-14,Louisiana,56,Houston,71
2021-12-14,SC Upstate,52,Tennessee,96
2021-12-14,N'Western St,49,LSU,89
2021-12-14,Arkansas St,62,Texas Tech,75
2021-12-15,N Colorado,76,Arizona,101
2021-12-15,UC Irvine,61,USC,66
2021-12-15,Morehead St,63,Xavier,86
2021-12-16,App State,67,Duke,92
2021-12-17,Villanova,59,Creighton,79
2021-12-18,Baylor,78,Oregon,70
2021-12-18,Elon,56,Duke,87
2021-12-18,Jax State,59,Alabama,65
2021-12-18,SF Austin,72,Kansas,80
2021-12-18,CA Baptist,60,Arizona,84
2021-12-18,Auburn,74,Saint Louis,70
2021-12-18,Oklahoma St,61,Houston,72
2021-12-18,LSU,66,Louisiana Tech,57
2021-12-18,Providence,57,UConn,53
2021-12-18,Marquette,71,Xavier,80
2021-12-18,Hofstra,89,Arkansas,81
2021-12-19,SE Louisiana,54,Iowa State,77
2021-12-20,Alcorn St,57,Baylor,94
2021-12-20,Incarnate Word,59,Purdue,79
2021-12-20,N Arizona,49,Gonzaga,95
2021-12-21,Chicago St,48,Iowa State,79
2021-12-21,Davidson,79,Alabama,78
2021-12-21,Michigan St,90,Oakland,78
2021-12-21,Xavier,58,Villanova,71
2021-12-22,Virginia Tech,65,Duke,76
2021-12-22,Arizona,73,Tennessee,77
2021-12-22,Murray St,58,Auburn,71
2021-12-22,Texas St,47,Houston,80
2021-12-22,Alabama St,48,Texas,68
2021-12-22,Lipscomb,60,LSU,95
2021-12-22,Western KY,60,Kentucky,95
2021-12-22,E Washington,46,Texas Tech,78
2021-12-25,Wyoming,77,South Florida,57
2021-12-25,Liberty,75,BYU,80
2021-12-27,Brown,62,Syracuse,93
2021-12-27,Dall Christian,52,Texas A&M,102
2021-12-28,N'Western St,68,Baylor,104
2021-12-28,North Alabama,63,Gonzaga,93
2021-12-28,Incarnate Word,33,Texas,78
2021-12-28,Alabama St,53,Texas Tech,75
2021-12-29,Nicholls,90,Purdue,104
2021-12-29,Nevada,61,Kansas,88
2021-12-29,High Point,68,Michigan St,81
2021-12-29,LSU,55,Auburn,70
2021-12-29,Tennessee,68,Alabama,73
2021-12-29,Seton Hall,65,Providence,70
2021-12-29,Missouri,56,Kentucky,83
2021-12-29,Illinois St,85,Wisconsin,89
2021-12-31,High Point,48,Kentucky,92
2022-01-01,Baylor,77,Iowa State,72
2022-01-01,George Mason,67,Kansas,76
2022-01-01,Villanova,73,Seton Hall,67
2022-01-01,West Virginia,59,Texas,74
2022-01-01,Providence,70,DePaul,53
2022-01-02,Michigan St,73,Northwestern,67
2022-01-02,Houston,66,Temple,61
2022-01-02,Ohio State,87,Nebraska,79
2022-01-03,Wisconsin,74,Purdue,69
2022-01-03,Washington,79,Arizona,95
2022-01-04,Oklahoma,74,Baylor,84
2022-01-04,Georgia Tech,57,Duke,69
2022-01-04,Kansas,74,Oklahoma St,63
2022-01-04,Auburn,81,South Carolina,66
2022-01-04,Texas,70,Kansas St,57
2022-01-04,Kentucky,60,LSU,65
2022-01-04,Providence,56,Marquette,88
2022-01-04,Air Force,59,Colorado St,67
2022-01-04,Seton Hall,71,Butler,56
2022-01-05,Nebraska,67,Michigan St,79
2022-01-05,Texas Tech,47,Iowa State,51
2022-01-05,Houston,83,South Florida,66
2022-01-05,Alabama,83,Florida,70
2022-01-05,Ole Miss,60,Tennessee,66
2022-01-05,Creighton,41,Villanova,75
2022-01-06,Long Beach St,78,UCLA,96
2022-01-06,USC,77,California,63
2022-01-06,Ohio State,51,Indiana,67
2022-01-06,Iowa,78,Wisconsin,87
2022-01-07,Xavier,87,Butler,72
2022-01-08,Baylor,76,TCU,64
2022-01-08,Miami,76,Duke,74
2022-01-08,Purdue,74,Penn State,67
2022-01-08,Pepperdine,83,Gonzaga,117
2022-01-08,UCLA,60,California,52
2022-01-08,Florida,73,Auburn,85
2022-01-08,Iowa State,66,Oklahoma,79
2022-01-08,Wichita St,66,Houston,76
2022-01-08,Texas,51,Oklahoma St,64
2022-01-08,Alabama,86,Missouri,92
2022-01-08,St John's,73,Providence,83
2022-01-08,Georgia,77,Kentucky,92
2022-01-08,Tennessee,67,LSU,79
2022-01-08,Villanova,79,DePaul,64
2022-01-08,Colorado St,49,San Diego St,79
2022-01-08,UConn,87,Seton Hall,90
2022-01-09,Northwestern,87,Ohio State,95
2022-01-09,Wisconsin,70,Maryland,69
2022-01-10,Campbell,72,Winthrop,74
2022-01-10,Wofford,54,UNC Greensboro,58
2022-01-10,Army,57,Colgate,76
2022-01-10,Morgan St,88,SC State,81
2022-01-10,W Carolina,69,ETSU,87
2022-01-10,Bucknell,67,Loyola MD,71
2022-01-10,Holy Cross,69,Lehigh,77
2022-01-10,Boston U,79,American,53
2022-01-10,Navy,69,Lafayette,55
2022-01-10,UIC,67,IU Indy,65
2022-01-10,Southern,69,Bethune,59
2022-01-10,Grambling,66,Florida A&M,75
2022-01-10,Omaha,61,Kansas City,64
2022-01-10,South Dakota,75,North Dakota,68
2022-01-10,Jackson St,58,Alabama A&M,60
2022-01-10,Miss Valley St,58,Texas Southern,95
2022-01-10,AR-Pine Bluff,58,Prairie View,75
2022-01-10,Alcorn St,70,Alabama St,60
2022-01-10,N Dakota St,87,Denver,69
2022-01-10,Oregon,78,Oregon St,76
2022-01-10,San Diego,72,Pepperdine,62
2022-01-11,Texas Tech,65,Baylor,62
2022-01-11,Auburn,81,Alabama,77
2022-01-11,USC,69,Stanford,75
2022-01-11,Iowa State,61,Kansas,62
2022-01-11,Kentucky,78,Vanderbilt,66
2022-01-11,Oklahoma,52,Texas,66
2022-01-11,South Carolina,46,Tennessee,66
2022-01-11,Illinois,81,Nebraska,71
2022-01-12,Duke,76,Wake Forest,64
2022-01-12,Minnesota,69,Michigan St,71
2022-01-12,LSU,64,Florida,58
2022-01-12,Villanova,64,Xavier,60
2022-01-13,BYU,84,Gonzaga,110
2022-01-13,Oregon,84,UCLA,81
2022-01-13,Oregon St,71,USC,81
2022-01-13,Colorado,55,Arizona,76
2022-01-13,Ohio State,68,Wisconsin,78
2022-01-13,Oklahoma St,57,Texas Tech,78
2022-01-13,Seton Hall,92,DePaul,96
2022-01-14,Nebraska,65,Purdue,92
2022-01-14,Michigan,53,Illinois,68
2022-01-15,Oklahoma St,61,Baylor,54
2022-01-15,Gonzaga,115,Santa Clara,83
2022-01-15,Oregon St,65,UCLA,81
2022-01-15,Auburn,80,Ole Miss,71
2022-01-15,Oregon,79,USC,69
2022-01-15,Utah,64,Arizona,82
2022-01-15,NC State,73,Duke,88
2022-01-15,West Virginia,59,Kansas,85
2022-01-15,Northwestern,64,Michigan St,62
2022-01-15,Houston,66,Tulsa,64
2022-01-15,Arkansas,65,LSU,58
2022-01-15,Texas,70,Iowa State,79
2022-01-15,Creighton,73,Xavier,80
2022-01-15,Tennessee,79,Kentucky,107
2022-01-15,Texas Tech,51,Kansas St,62
2022-01-15,Seton Hall,72,Marquette,73
2022-01-15,Alabama,76,Mississippi St,78
2022-01-16,Butler,42,Villanova,82
2022-01-16,Penn State,56,Ohio State,61
2022-01-17,Purdue,96,Illinois,88
2022-01-18,Baylor,77,West Virginia,68
2022-01-18,Duke,78,Florida St,79
2022-01-18,Kansas,67,Oklahoma,64
2022-01-18,Wisconsin,82,Northwestern,76
2022-01-18,South Florida,55,Houston,74
2022-01-18,Iowa State,60,Texas Tech,72
2022-01-18,IU Indy,37,Ohio State,83
2022-01-18,Loyola Chicago,77,Evansville,48
2022-01-18,Kansas St,66,Texas,65
2022-01-18,Tennessee,68,Vanderbilt,60
2022-01-18,Butler,59,UConn,76
2022-01-19,Georgia,60,Auburn,83
2022-01-19,Marquette,57,Villanova,54
2022-01-19,Kentucky,64,Texas A&M,58
2022-01-19,LSU,67,Alabama,70
2022-01-19,Xavier,68,DePaul,67
2022-01-20,San Francisco,62,Gonzaga,78
2022-01-20,Arizona,85,Stanford,57
2022-01-20,Purdue,65,Indiana,68
2022-01-20,UCLA,63,Utah,58
2022-01-20,USC,61,Colorado,58
2022-01-20,Georgetown,75,Providence,83
2022-01-20,UConn,75,Butler,56
2022-01-21,Michigan St,86,Wisconsin,74
2022-01-21,Illinois,65,Maryland,81
2022-01-22,Kentucky,71,Auburn,80
2022-01-22,Baylor,65,Oklahoma,51
2022-01-22,Syracuse,59,Duke,79
2022-01-22,Kansas,78,Kansas St,75
2022-01-22,UCLA,71,Colorado,65
2022-01-22,East Carolina,36,Houston,79
2022-01-22,Villanova,85,Georgetown,74
2022-01-22,LSU,50,Tennessee,64
2022-01-22,TCU,59,Iowa State,44
2022-01-22,USC,79,Utah,67
2022-01-22,West Virginia,65,Texas Tech,78
2022-01-22,Missouri St,79,Loyola Chicago,69
2022-01-22,Oklahoma St,51,Texas,56
2022-01-23,Arizona,96,California,71
2022-01-23,Northwestern,60,Purdue,80
2022-01-23,Xavier,64,Marquette,75
2022-01-23,Butler,62,Providence,69
2022-01-24,Texas Tech,91,Kansas,94
2022-01-24,Arizona St,56,USC,78
2022-01-25,Auburn,55,Missouri,54
2022-01-25,Arizona,59,UCLA,75
2022-01-25,Kansas St,49,Baylor,74
2022-01-25,Clemson,69,Duke,71
2022-01-25,Michigan St,55,Illinois,56
2022-01-25,Mississippi St,74,Kentucky,82
2022-01-25,DePaul,43,Villanova,67
2022-01-25,Georgetown,73,UConn,96
2022-01-26,Providence,65,Xavier,62
2022-01-26,Florida,71,Tennessee,78
2022-01-26,Texas A&M,64,LSU,70
2022-01-26,Marquette,73,Seton Hall,63
2022-01-26,Iowa State,84,Oklahoma St,81
2022-01-26,VCU,70,Davidson,68
2022-01-27,LMU,55,Gonzaga,89
2022-01-27,Purdue,83,Iowa,73
2022-01-27,California,57,UCLA,81
2022-01-27,Wisconsin,73,Nebraska,65
2022-01-27,Stanford,64,USC,61
2022-01-27,Ohio State,75,Minnesota,64
2022-01-28,Colgate,72,Boston U,76
2022-01-28,Lehigh,65,Holy Cross,67
2022-01-28,Penn,78,Harvard,74
2022-01-28,Stony Brook,76,New Hampshire,69
2022-01-28,Canisius,67,Monmouth,72
2022-01-28,Wyoming,63,Air Force,61
2022-01-28,Purdue FW,49,N Kentucky,59
2022-01-28,Rhode Island,51,Dayton,53
2022-01-28,Fairfield,76,Rider,65
2022-01-28,Manhattan,51,Saint Peter's,77
2022-01-28,Niagara,56,Siena,60
2022-01-28,Ohio,74,Buffalo,53
2022-01-28,Akron,76,Toledo,84
2022-01-28,Marist,87,Quinnipiac,94
2022-01-28,Cleveland St,71,Wright St,67
2022-01-28,UNLV,88,Colorado St,74
2022-01-28,San José St,70,New Mexico,86
2022-01-28,Boise St,68,Fresno St,63
2022-01-29,Portland,72,Gonzaga,104
2022-01-29,Arizona St,56,Arizona,67
2022-01-29,Houston,63,UCF,49
2022-01-29,Stanford,43,UCLA,66
2022-01-29,Duke,74,Louisville,65
2022-01-29,Michigan,67,Michigan St,83
2022-01-29,St John's,62,Villanova,73
2022-01-29,California,72,USC,79
2022-01-29,UConn,57,DePaul,50
2022-01-29,Xavier,74,Creighton,64
2022-01-29,Illinois,59,Northwestern,56
2022-01-29,La Salle,69,Davidson,77
2022-01-30,Ohio State,78,Purdue,81
2022-01-30,Minnesota,60,Wisconsin,66
2022-01-30,Marquette,63,Providence,65
2022-01-31,West Virginia,77,Baylor,81
2022-01-31,Duke,57,Notre Dame,43
2022-02-01,Alabama,81,Auburn,100
2022-02-01,Kansas,70,Iowa State,61
2022-02-01,Michigan St,65,Maryland,63
2022-02-01,Texas,64,Texas Tech,77
2022-02-01,Providence,86,St John's,82
2022-02-01,Creighton,59,UConn,55
2022-02-01,Texas A&M,80,Tennessee,90
2022-02-01,Ole Miss,76,LSU,72
2022-02-02,Purdue,88,Minnesota,73
2022-02-02,Tulane,62,Houston,73
2022-02-02,Wisconsin,67,Illinois,80
2022-02-02,Villanova,73,Marquette,83
2022-02-02,Butler,66,Xavier,68
2022-02-03,Gonzaga,92,San Diego,62
2022-02-03,UCLA,66,Arizona,76
2022-02-03,USC,58,Arizona St,53
2022-02-04,Dartmouth,69,Yale,72
2022-02-04,St Bonaventure,61,Richmond,71
2022-02-04,W Carolina,69,VMI,76
2022-02-04,Miami OH,55,Akron,66
2022-02-04,Oakland,78,N Kentucky,87
2022-02-04,Detroit Mercy,59,Wright St,90
2022-02-04,Creighton,55,Seton Hall,74
2022-02-04,Princeton,83,Cornell,88
2022-02-04,Penn,81,Columbia,66
2022-02-04,Harvard,65,Brown,50
2022-02-04,Milwaukee,60,Purdue FW,70
2022-02-04,Green Bay,69,Cleveland St,85
2022-02-04,Quinnipiac,74,Saint Peter's,83
2022-02-04,Rider,74,Siena,60
2022-02-04,Iona,70,Canisius,62
2022-02-04,Manhattan,74,Niagara,80
2022-02-04,Fairfield,56,Monmouth,59
2022-02-04,Toledo,83,Ball State,93
2022-02-04,San Diego St,57,Colorado St,58
2022-02-04,Nevada,56,Fresno St,73
2022-02-05,Auburn,74,Georgia,72
2022-02-05,Gonzaga,90,BYU,57
2022-02-05,UCLA,84,Arizona St,87
2022-02-05,Michigan,76,Purdue,82
2022-02-05,Kentucky,66,Alabama,55
2022-02-05,USC,63,Arizona,72
2022-02-05,Baylor,59,Kansas,83
2022-02-05,Duke,87,North Carolina,67
2022-02-05,Penn State,49,Wisconsin,51
2022-02-05,UConn,74,Villanova,85
2022-02-05,Michigan St,63,Rutgers,84
2022-02-05,Texas Tech,60,West Virginia,53
2022-02-05,Illinois,74,Indiana,57
2022-02-05,Iowa State,41,Texas,63
2022-02-05,DePaul,69,Xavier,65
2022-02-05,Tennessee,81,South Carolina,57
2022-02-05,LSU,66,Vanderbilt,75
2022-02-06,Houston,80,Cincinnati,58
2022-02-06,Providence,71,Georgetown,52
2022-02-06,Maryland,67,Ohio State,82
2022-02-07,Arizona,91,Arizona St,79
2022-02-07,Virginia,69,Duke,68
2022-02-07,Kansas,76,Texas,79
2022-02-08,Auburn,76,Arkansas,80
2022-02-08,Illinois,68,Purdue,84
2022-02-08,Kentucky,86,South Carolina,76
2022-02-08,UCLA,79,Stanford,70
