rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,home_rank,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
1,Villanova,Villanova,20.8246481599593,9.54909725914624,30.3737454191055,41.8860796553511,-42.5445695883833,1,16,69.1690870075912,181,198,36,4,#FF9D23,#FFCB8A,#FF9D23,#E56273,#99BBC3,Villanova plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Villanova plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
2,Virginia,Virginia,10.6538283859487,17.9480868654213,28.6019152513701,44.9249732918912,4.46457761367288,20,1,61.0685523987207,350,271,31,3,#FFCD8E,#FF9D23,#FFA330,#E1576C,#F0E0B6,Virginia plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Virginia performs at a similar level regardless of the pace of the game.
3,Duke,Duke,16.5091330962904,11.4830930519957,27.9922261482861,-29.0540033512326,-50.7354756220039,2,5,70.863651645999,83,12,29,8,#FFB250,#FFC072,#FFA534,#8EBFD0,#88B2C4,Duke plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Duke plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
4,Cincinnati,Cincinnati,10.1000961080757,16.4345663512793,26.534662459355,-9.85970168937455,-12.9818679153672,28,2,66.4891933808236,313,183,31,5,#FFCF94,#FFA635,#FFAA3F,#D7E9DA,#D4D9BE,Cincinnati performs at a similar level against both good and bad teams.,Cincinnati performs at a similar level regardless of the pace of the game.
5,Michigan State,Michigan State,14.2381162579957,11.0694860387793,25.3076022967751,-55.7245580189341,8.67056946776231,8,7,68.3813808776375,223,38,30,5,#FFBC68,#FFC377,#FFAE48,#517DB7,#F1DAB0,Michigan State plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Michigan State performs at a similar level regardless of the pace of the game.
6,Michigan,Michigan,10.4767624732429,12.8866851344861,23.363447607729,29.3302845921162,52.0361239338063,26,3,65.7874127378731,329,260,32,8,#FFCE90,#FFB961,#FFB456,#F79191,#FC9B76,Michigan plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Michigan plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
7,North Carolina,North Carolina,15.1324274853412,7.91034649313699,23.0427739784781,6.00365980194328,3.55623018474775,5,31,71.8293406775453,49,257,26,11,#FFB85F,#FFD49E,#FFB558,#FFE8CF,#EFE1B7,North Carolina performs at a similar level against both good and bad teams.,North Carolina performs at a similar level regardless of the pace of the game.
8,Purdue,Purdue,14.8686092120753,7.93617788570249,22.8047870977778,-84.2554674335997,29.5381059799346,6,30,68.5144571891719,216,95,30,7,#FFB962,#FFD49D,#FFB65A,#00429D,#F6BC94,Purdue plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Purdue plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
9,Kansas,Kansas,15.1843954224414,7.09123147621269,22.2756268986541,-32.5343109735671,7.51631889071902,3,44,69.7548683265448,151,96,31,8,#FFB85E,#FFD8A8,#FFB75D,#86B6CC,#F0DCB2,Kansas plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Kansas performs at a similar level regardless of the pace of the game.
10,West Virginia,West Virginia,12.9261416502032,8.8823892925806,21.8085309427838,-1.46125314969306,31.2418989411768,12,19,70.7543482671415,87,20,26,12,#FFC276,#FFCE92,#FFB961,#F9FBDF,#F6B992,West Virginia performs at a similar level against both good and bad teams.,West Virginia plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
