rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,home_rank,runs_per_game,runs_conceded_per_game,runs_margin,runs_total,runs_conceded_total,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
1,Duke,Duke,22.4476040650381,14.5770651046337,37.0246691696717,0.134411567016166,36.4553010167552,1,4,66.4724655904924,286,195,1,0.205128205128205,0.794871794871795,39,8,35,4,#FF9D23,#FFB354,#FF9D23,#FFFEDF,#F5C29A,Duke performs at a similar level against both good and bad teams.,Duke plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
2,Florida,Florida,20.4371707996845,15.0049204916842,35.4420912913687,99.009900990099,47.9844888216196,2,3,70.4103473797308,58,21,0.9,0.275,0.625,36,11,36,4,#FFA637,#FFB14F,#FFA22C,#93003A,#F7B68F,Florida plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Florida plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
3,Houston,Houston,15.9442495735608,18.7650243936567,34.7092739672175,-14.8033668905285,-11.2822526177422,7,1,62.6158739978678,360,149,0.775,0.25,0.525,31,10,35,5,#FFBA63,#FF9D23,#FFA431,#B0D4D5,#DCDDBD,Houston plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Houston performs at a similar level regardless of the pace of the game.
4,Auburn,Auburn,18.4488472481343,13.1834207955757,31.63226804371,-6.74617294808993,55.9590470862905,4,9,68.4183047934621,161,73,0.921052631578947,0.236842105263158,0.684210526315789,35,9,32,6,#FFAF4A,#FFBA64,#FFAC43,#DBEBDB,#F8AE88,Auburn performs at a similar level against both good and bad teams.,Auburn plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
5,Alabama,Alabama,18.7167578558102,9.57079367270789,28.2875515285181,10.6599656211259,12.0801524450342,3,25,75.4790585021322,1,216,0.459459459459459,0.189189189189189,0.27027027027027,17,7,28,9,#FFAE47,#FFCD8F,#FFB457,#FFDBC6,#F1DAB0,Alabama performs at a similar level against both good and bad teams.,Alabama performs at a similar level regardless of the pace of the game.
6,Tennessee,Tennessee,12.7482191468414,14.1672407349511,26.9154598817924,-2.35564787176606,-4.51675204350199,18,6,64.398811502532,355,91,0.526315789473684,0.236842105263158,0.289473684210526,20,9,30,8,#FFC782,#FFB559,#FFB85F,#F2F8DE,#E7E3BC,Tennessee performs at a similar level against both good and bad teams.,Tennessee performs at a similar level regardless of the pace of the game.
7,Gonzaga,Gonzaga,16.9124972666389,9.91170737926269,26.8242046459016,-17.2275415564325,43.9606874446978,6,22,71.0847953529451,43,226,0.914285714285714,0.314285714285714,0.6,32,11,26,9,#FFB559,#FFCB8B,#FFB85F,#A3CDD4,#F6BA93,Gonzaga plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Gonzaga plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
8,St. John's,St. John's,8.46819411301278,17.4992191807341,25.9674132937469,40.5462458897847,6.34173744733471,49,2,70.5687572946429,55,342,0.75,0.222222222222222,0.527777777777778,27,8,31,5,#FFDAAC,#FFA432,#FFBA64,#EE7982,#F0E0B6,St. John's plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,St. John's performs at a similar level regardless of the pace of the game.
9,Michigan State,Michigan State,11.5595433051383,14.3195778966543,25.8791212017926,44.0174555454668,-23.9526765222706,20,5,67.8789728185687,206,228,0.702702702702703,0.324324324324324,0.378378378378378,26,12,30,7,#FFCD8D,#FFB457,#FFBB65,#E96E7A,#C7D2BF,Michigan State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Michigan State performs at a similar level regardless of the pace of the game.
10,Texas Tech,Texas Tech,17.0828444598214,8.78573793025601,25.8685823900774,-9.9368798471773,-39.0629940138108,5,31,66.8001816383802,268,329,0.594594594594595,0.27027027027027,0.324324324324324,22,10,28,9,#FFB557,#FFD198,#FFBB65,#CAE2D9,#AEC6C1,Texas Tech performs at a similar level against both good and bad teams.,Texas Tech plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
11,Iowa State,Iowa State,11.3440908728678,13.451819043177,24.7959099160448,18.3305339802097,-2.65396647786752,21,8,69.2048006983334,120,61,1.02857142857143,0.314285714285714,0.714285714285714,36,11,25,10,#FFCD90,#FFB961,#FFBE6B,#FFC2B3,#EAE4BC,Iowa State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Iowa State performs at a similar level regardless of the pace of the game.
12,Maryland,Maryland,10.5906230763593,13.8925256996269,24.4831487759861,1.39793806512087,51.5439905247625,27,7,70.088040379453,70,74,0.972222222222222,0.305555555555556,0.666666666666667,35,11,27,9,#FFD197,#FFB75C,#FFBE6D,#FFFADC,#F8B38C,Maryland performs at a similar level against both good and bad teams.,Maryland plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
13,Arizona,Arizona,15.4249949963779,8.75425270384829,24.1792477002262,-36.3110504280611,24.5689839432725,10,32,70.6877113327559,51,93,0.594594594594595,0.216216216216216,0.378378378378378,22,8,24,13,#FFBC68,#FFD198,#FFBF6F,#638FBE,#F3CEA5,Arizona plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Arizona performs at a similar level regardless of the pace of the game.
14,Wisconsin,Wisconsin,14.2852230527476,9.08844839875989,23.3736714515075,69.9318725579288,-10.0997385081605,12,28,68.1365211601683,183,193,0.621621621621622,0.243243243243243,0.378378378378378,23,9,27,10,#FFC173,#FFCF94,#FFC174,#B2204C,#DEDEBD,Wisconsin plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Wisconsin performs at a similar level regardless of the pace of the game.
15,Kansas,Kansas,9.89608487939765,12.6775172707889,22.5736021501866,-20.7242586738959,-24.9870453741402,34,11,69.3882573995496,108,38,0.647058823529412,0.323529411764706,0.323529411764706,22,11,21,13,#FFD49E,#FFBD6A,#FFC379,#91C2D1,#C5D1BF,Kansas plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Kansas performs at a similar level regardless of the pace of the game.
16,Purdue,Purdue,15.6595440764925,6.73528896268657,22.3948330391791,-13.3967507947856,-7.9793012786252,8,51,65.8494114028518,311,22,0.694444444444444,0.416666666666667,0.277777777777778,25,15,24,12,#FFBB65,#FFDCB0,#FFC47A,#B7D8D6,#E1E0BD,Purdue plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Purdue performs at a similar level regardless of the pace of the game.
17,Clemson,Clemson,10.7492923858385,11.5049007771901,22.2541931630286,44.7769975087387,-42.1687666836266,26,14,65.7267543610741,317,186,0.529411764705882,0.411764705882353,0.117647058823529,18,14,27,7,#FFD095,#FFC378,#FFC47B,#E96B79,#A9C3C2,Clemson plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Clemson plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
18,Connecticut,Connecticut,14.2164047128654,7.51045218717884,21.7268569000443,-27.5696056019831,33.5061414088103,13,45,64.8638646088753,344,163,0.742857142857143,0.285714285714286,0.457142857142857,26,10,24,11,#FFC173,#FFD8A7,#FFC67E,#7DACC9,#F4C59D,Connecticut plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Connecticut plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
19,BYU,BYU,15.5650982742537,6.12387978680037,21.6889780610541,-22.6125852282714,-4.93044852209582,9,55,68.5071782136019,154,13,0.861111111111111,0.277777777777778,0.583333333333333,31,10,26,10,#FFBB66,#FFDFB7,#FFC67E,#8CBCCF,#E6E2BC,BYU plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,BYU performs at a similar level regardless of the pace of the game.
20,North Carolina,North Carolina,12.9231593416844,8.19335858542111,21.1165179271055,-22.4487247439892,-4.8716776261571,17,38,71.210403628065,37,171,0.567567567567568,0.351351351351351,0.216216216216216,21,13,23,14,#FFC780,#FFD49F,#FFC781,#8CBDCF,#E6E2BC,North Carolina plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,North Carolina performs at a similar level regardless of the pace of the game.
