rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,home_rank,runs_per_game,runs_conceded_per_game,runs_margin,runs_total,runs_conceded_total,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
1,Connecticut,Connecticut,15.6454968441505,12.282745483511,27.9282423276615,63.5875100090947,6.92338069848677,3,7,67.7112242108807,208,97,0.725,0.15,0.575,29,6,31,8,#FFAB43,#FFB558,#FF9D23,#93003A,#F0DFB4,Connecticut plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Connecticut performs at a similar level regardless of the pace of the game.
2,Alabama,Alabama,12.0137312060235,14.4866437899787,26.5003749960021,6.2701131862073,-69.3160920441414,11,3,73.2908554544243,3,5,0.657894736842105,0.131578947368421,0.526315789473684,25,5,31,6,#FFBF6E,#FFA83A,#FFA22E,#FFE3CB,#77A9C6,Alabama performs at a similar level against both good and bad teams.,Alabama plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
3,Houston,Houston,12.0545125724526,13.9226194356779,25.9771320081305,-45.4085125102675,-21.8955345520421,9,4,65.0090627161514,334,241,0.789473684210526,0.236842105263158,0.552631578947368,30,9,33,4,#FFBF6E,#FFAB42,#FFA432,#3E70B1,#C9D3BF,Houston plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Houston performs at a similar level regardless of the pace of the game.
4,UCLA,UCLA,11.0328454957356,14.5143852078891,25.5472307036247,-25.1856446509109,-5.37621180258224,15,2,67.1865402011274,245,148,0.794871794871795,0.230769230769231,0.564102564102564,31,9,31,6,#FFC47A,#FFA73A,#FFA636,#83B2CB,#E5E2BC,UCLA plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,UCLA performs at a similar level regardless of the pace of the game.
5,Texas,Texas,11.8145312878733,12.9846115492376,24.7991428371109,-2.92288569691292,-45.3193286687427,12,5,69.7074127357589,99,30,0.575,0.175,0.4,23,7,29,9,#FFC071,#FFB14E,#FFA83C,#EFF6DD,#A0BEC2,Texas performs at a similar level against both good and bad teams.,Texas plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
6,Purdue,Purdue,13.7609882642429,10.1545215333652,23.9155097976081,48.7044451411678,19.1651623230061,7,20,65.1911267150853,330,86,0.722222222222222,0.333333333333333,0.388888888888889,26,12,29,6,#FFB559,#FFC275,#FFAB42,#BE2D53,#F2D1A8,Purdue plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Purdue performs at a similar level regardless of the pace of the game.
7,Gonzaga,Gonzaga,18.2797761860341,5.36730373888593,23.64707992492,-19.9022650230114,-0.0957063588999694,1,66,70.9775026984941,43,144,0.756756756756757,0.162162162162162,0.594594594594595,28,6,30,6,#FF9D23,#FFDEB6,#FFAC45,#93C4D2,#EEE6BC,Gonzaga plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Gonzaga performs at a similar level regardless of the pace of the game.
8,Tennessee,Tennessee,6.88566091943066,16.1811301094519,23.0667910288826,-65.9011587703742,-31.5772929250114,54,1,66.8536138308729,267,3,0.763157894736842,0.236842105263158,0.526315789473684,29,9,25,11,#FFDAAC,#FF9D23,#FFAE49,#00429D,#B8CBC0,Tennessee plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Tennessee plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
9,Arizona,Arizona,13.6307631188459,8.72345749081626,22.3542206096622,16.4653694272145,16.975854614201,8,30,72.7812891831023,9,100,0.72972972972973,0.189189189189189,0.540540540540541,27,7,28,7,#FFB65B,#FFCA88,#FFB14F,#FFB5AA,#F2D4AA,Arizona plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Arizona performs at a similar level regardless of the pace of the game.
10,Duke,Duke,10.517770493087,11.4821139271901,21.9998844202771,-31.3020530595685,-57.4924340752558,19,12,66.0785432484475,305,128,0.710526315789474,0.210526315789474,0.5,27,8,27,9,#FFC780,#FFBA63,#FFB252,#709EC3,#8BB4C4,Duke plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Duke plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
