rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,home_rank,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
1,Gonzaga,Gonzaga,20.2434516016933,8.19968074181333,28.4431323435067,14.7056456652129,-4.6932443474776,1,28,73.9623991744403,15,238,31,1,#FF9D23,#FFCA87,#FF9D23,#FFC5B5,#E4E1BC,Gonzaga plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Gonzaga performs at a similar level regardless of the pace of the game.
2,Baylor,Baylor,18.6331582356077,9.53818125,28.1713394856077,68.1843005120268,-27.0823375827461,2,15,69.1982728949835,199,114,28,2,#FFA534,#FFC174,#FF9E25,#95023B,#B4C8C1,Baylor plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Baylor plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
3,Houston,Houston,15.4443270922175,11.8714604764126,27.3157875686301,-33.5235697443452,14.4820271954181,4,2,66.4563425459755,318,1,27,4,#FFB457,#FFB252,#FFA12C,#7AA9C8,#F1D7AE,Houston plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Houston performs at a similar level regardless of the pace of the game.
4,Michigan,Michigan,13.9431916945229,11.6089895882702,25.5521812827931,61.0344338600187,-18.092162248907,8,5,67.8089655895875,272,123,23,5,#FFBC67,#FFB456,#FFA739,#AC1A48,#C7D2BF,Michigan plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Michigan performs at a similar level regardless of the pace of the game.
5,Illinois,Illinois,13.1172708595806,10.6456325627317,23.7629034223123,-24.7860404283982,47.3486557357489,10,8,71.4882109656037,81,313,24,7,#FFC070,#FFBA64,#FFAD47,#91C1D1,#F7B58E,Illinois plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Illinois plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
6,USC,USC,10.8571776206023,10.875827570629,21.7330051912313,22.7127220155303,13.4629966102861,14,7,68.2510535908769,248,32,25,8,#FFCA89,#FFB961,#FFB457,#FFA69E,#F1D8AF,USC plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,USC performs at a similar level regardless of the pace of the game.
7,Alabama,Alabama,9.78567811916858,11.8519557344497,21.6376338536183,51.4582896055792,-22.3553371953671,22,3,74.3847405503731,9,101,26,7,#FFD094,#FFB252,#FFB557,#CB3A5A,#BECEC0,Alabama plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Alabama plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
8,Loyola Chicago,Loyola Chicago,9.74021480623287,11.8150429505135,21.5552577567464,54.1421089253518,29.8599510836928,23,4,65.0172655297175,339,303,24,5,#FFD095,#FFB353,#FFB558,#C23155,#F4C79F,Loyola Chicago plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Loyola Chicago plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
9,Villanova,Villanova,14.4366517590618,6.92352009278385,21.3601718518457,1.96951086022044,3.45751046099863,7,39,66.2256388644723,324,6,18,7,#FFB962,#FFD29A,#FFB65A,#FFF7DA,#EFE3B8,Villanova performs at a similar level against both good and bad teams.,Villanova performs at a similar level regardless of the pace of the game.
10,Iowa,Iowa,17.4685571020832,3.67149041057253,21.1400475126557,-57.601518763846,9.21455287393829,3,88,71.2910581269027,90,249,22,9,#FFAB41,#FFE7C9,#FFB65B,#3367AD,#F0DDB3,Iowa plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Iowa performs at a similar level regardless of the pace of the game.
11,Memphis,Memphis,4.41227618163395,15.1173782101309,19.5296543917648,60.7465014445819,9.50164183652112,89,1,72.3609612390259,47,260,20,8,#FFE9CF,#FF9D23,#FFBC68,#AD1B49,#F0DDB2,Memphis plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Memphis performs at a similar level regardless of the pace of the game.
12,Ohio State,Ohio State,14.9565903251599,4.46145736806303,19.4180476932229,34.2267599326606,10.1743009317734,5,76,67.9224307642139,264,209,21,10,#FFB75C,#FFE2BE,#FFBC69,#EE7982,#F0DCB2,Ohio State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Ohio State performs at a similar level regardless of the pace of the game.
13,Florida State,Florida State,10.2261505683817,8.93636684465703,19.1625174130387,30.0587617126542,-33.9449870115545,17,22,71.1754111510161,93,16,18,7,#FFCD90,#FFC57D,#FFBD6B,#F4898C,#A5C1C2,Florida State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Florida State plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
14,Virginia,Virginia,10.1864798673326,8.76452815949469,18.9510080268273,-30.8618233348701,-11.2670460118142,18,23,61.8769241884328,346,195,18,7,#FFCE90,#FFC67F,#FFBE6C,#81B0CA,#D6DABE,Virginia plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Virginia performs at a similar level regardless of the pace of the game.
15,Colorado,Colorado,10.5093772574655,8.3440299657581,18.8534072232236,0.663162340832711,59.5540326183684,16,25,67.583421892564,280,10,23,9,#FFCC8D,#FFC985,#FFBE6D,#FFFCDE,#FAA882,Colorado performs at a similar level against both good and bad teams.,Colorado plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
16,Oregon,Oregon,13.176800614339,5.51410140738939,18.6909020217284,13.4065081223776,36.7936004744088,9,61,68.6130085257083,229,219,21,7,#FFBF70,#FFDBAE,#FFBF6E,#FFCAB9,#F5C098,Oregon performs at a similar level against both good and bad teams.,Oregon plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
17,West Virginia,West Virginia,12.00472805996,6.65837790886784,18.6631059688279,11.158141994619,0.0269599945724448,12,43,70.6878655249827,114,283,19,10,#FFC57C,#FFD49E,#FFBF6E,#FFD3C0,#EFE6BB,West Virginia performs at a similar level against both good and bad teams.,West Virginia performs at a similar level regardless of the pace of the game.
18,Creighton,Creighton,10.6837206645358,7.96179153165461,18.6455121961904,-12.9289221929627,20.8983410509271,15,31,70.3054574794625,134,58,22,9,#FFCB8B,#FFCB8B,#FFBF6F,#C4DFD8,#F2D1A7,Creighton performs at a similar level against both good and bad teams.,Creighton performs at a similar level regardless of the pace of the game.
19,Wisconsin,Wisconsin,8.33379643037047,10.2908753671375,18.624671797508,-38.1708410429633,-19.4677784140126,33,11,66.5399873298907,315,127,18,13,#FFD7A4,#FFBC69,#FFBF6F,#6F9CC3,#C4D1BF,Wisconsin plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Wisconsin performs at a similar level regardless of the pace of the game.
20,North Carolina,North Carolina,9.47726526615043,9.11227281068161,18.589538076832,18.4705254624503,57.0057827006746,26,20,72.3049496906716,49,35,18,11,#FFD198,#FFC47A,#FFBF6F,#FFB6AB,#F9AB85,North Carolina plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,North Carolina plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
21,UCLA,UCLA,12.3261812426672,6.09149435558078,18.417675598248,37.9435878477195,2.78300810204061,11,51,65.7652876385928,333,34,22,10,#FFC379,#FFD7A6,#FFC070,#E86B79,#EFE4B9,UCLA plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,UCLA performs at a similar level regardless of the pace of the game.
22,Texas Tech,Texas Tech,9.2489568734329,8.98826225802728,18.2372191314602,-72.8856757389751,28.7550283785499,27,21,66.5395100395123,316,122,18,11,#FFD29A,#FFC57C,#FFC072,#00429D,#F4C8A0,Texas Tech plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Texas Tech plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
23,Kansas,Kansas,7.40915421243942,10.3162593396346,17.7254135520741,-48.7126145586765,-17.0989706790977,45,10,69.7672869811861,166,81,20,9,#FFDBAE,#FFBC69,#FFC276,#537FB8,#C9D3BF,Kansas plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Kansas performs at a similar level regardless of the pace of the game.
24,Purdue,Purdue,10.0014446755064,7.62747354704824,17.6289182225546,-13.4214059713365,48.0769217232828,19,34,67.5596516539172,281,193,18,10,#FFCF92,#FFCE90,#FFC276,#C2DED8,#F7B48D,Purdue performs at a similar level against both good and bad teams.,Purdue plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
25,Texas,Texas,8.2308594936522,9.24251319776852,17.4733726914207,4.59046292502704,31.6455978181636,34,17,70.3073894544013,133,295,19,8,#FFD7A5,#FFC378,#FFC378,#FFEDD2,#F4C59D,Texas performs at a similar level against both good and bad teams.,Texas plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
26,Arkansas,Arkansas,8.03182177409419,9.43997065699336,17.4717924310876,-46.9392173712164,17.9100034256135,38,16,73.8021710920842,18,49,25,7,#FFD8A7,#FFC275,#FFC378,#5884BA,#F2D4AA,Arkansas plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Arkansas performs at a similar level regardless of the pace of the game.
27,LSU,LSU,14.7871808566575,2.42376210445978,17.2109429611173,-3.653211060873,-56.266381143734,6,111,71.5452637257342,79,46,19,10,#FFB85E,#FFEFDB,#FFC47A,#EEF6DD,#74A8C6,LSU performs at a similar level against both good and bad teams.,LSU plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
28,Duke,Duke,11.5734919116106,5.56425635714756,17.1377482687582,-5.8224687700787,-99.009900990099,13,59,69.7418762713685,169,254,13,11,#FFC781,#FFDBAE,#FFC47A,#E4F0DC,#70A6C7,Duke performs at a similar level against both good and bad teams.,Duke plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
