rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,home_rank,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
1,Virginia,Virginia,16.325444475381,14.9942036937146,31.3196481690957,-28.0416292407088,-3.14333900219484,2,3,61.4810720882196,352,307,35,3,#FFA635,#FFAA3F,#FF9D23,#88B8CD,#E9E4BC,Virginia plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Virginia performs at a similar level regardless of the pace of the game.
2,Gonzaga,Gonzaga,17.8289820049792,13.0405768250822,30.8695588300615,-60.0429575274424,20.8945404115631,1,8,71.6877562266125,60,57,33,4,#FF9D23,#FFB558,#FF9F26,#2960AA,#F3CDA4,Gonzaga plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Gonzaga performs at a similar level regardless of the pace of the game.
3,Duke,Duke,13.8408873134328,14.6903675306503,28.5312548440832,-22.688527377096,-33.7700492927919,8,4,73.7060097914446,15,170,32,6,#FFB354,#FFAB43,#FFA636,#98C6D2,#B7CAC0,Duke plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Duke plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
4,Michigan State,Michigan State,15.465641038113,12.1348445362473,27.6004855743603,10.5387768843269,-53.5249320359119,5,13,68.7037570860731,204,38,32,7,#FFAA40,#FFBA63,#FFA93D,#FFD6C2,#96B9C3,Michigan State performs at a similar level against both good and bad teams.,Michigan State plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
5,Texas Tech,Texas Tech,9.81432022247507,17.1585944882385,26.9729147107136,60.6830524718219,-99.009900990099,21,1,67.2071260379864,282,52,31,7,#FFC986,#FF9D23,#FFAB41,#B2204C,#70A6C7,Texas Tech plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Texas Tech plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
6,North Carolina,North Carolina,15.5207115936258,10.9494297137427,26.4701413073685,-12.7815004194154,46.8553727691003,4,15,75.0006592010927,7,338,29,7,#FFAA3F,#FFC172,#FFAC45,#C5DFD8,#F9AD86,North Carolina performs at a similar level against both good and bad teams.,North Carolina plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
7,Kentucky,Kentucky,12.769676472548,12.5255505010661,25.2952269736141,8.14393320020204,-72.582710103776,9,9,67.1221545154478,288,168,30,7,#FFB961,#FFB85E,#FFB04D,#FFDFC9,#77A9C6,Kentucky performs at a similar level against both good and bad teams.,Kentucky plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
8,Michigan,Michigan,8.47355485119247,16.2930068605027,24.7665617116952,33.5206595883221,-22.1097906630308,29,2,66.4108883192564,316,124,30,7,#FFD096,#FFA22E,#FFB251,#F07F85,#CAD4BF,Michigan plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Michigan performs at a similar level regardless of the pace of the game.
9,Purdue,Purdue,16.0541457750655,7.83488753566602,23.8890333107315,-10.73813360117,-41.6305229797936,3,35,66.858080169263,302,5,26,10,#FFA739,#FFD29A,#FFB457,#CEE4D9,#AAC3C1,Purdue performs at a similar level against both good and bad teams.,Purdue plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
10,Auburn,Auburn,14.9818504233553,8.56523210477177,23.5470825281271,33.9742154418417,59.391092909211,7,28,69.4026053550271,154,3,29,10,#FFAD46,#FFCE91,#FFB659,#F07D84,#FB9D78,Auburn plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Auburn plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
