rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,home_rank,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
1,Gonzaga,Gonzaga,16.7935332001748,11.7792930106199,28.5728262107947,-11.1303977259931,14.7655279231723,3,7,73.5676442723881,4,209,28,4,#FFA32F,#FFB250,#FF9D23,#C8E1D8,#F2D5AB,Gonzaga performs at a similar level against both good and bad teams.,Gonzaga performs at a similar level regardless of the pace of the game.
2,Houston,Houston,13.4652265991471,14.3227438232942,27.7879704224414,-7.28054037560743,16.9207437837314,8,2,65.7058096531183,324,10,32,6,#FFB558,#FFA12B,#FFA029,#DBEBDB,#F2D2A9,Houston performs at a similar level against both good and bad teams.,Houston performs at a similar level regardless of the pace of the game.
3,Kansas,Kansas,14.4445875466418,10.9003634341684,25.3449509808102,4.59282605871102,54.5020644946831,7,11,70.2703036370076,76,144,34,6,#FFB04C,#FFB75D,#FFA83C,#FFECD2,#FAA680,Kansas performs at a similar level against both good and bad teams.,Kansas plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
4,Duke,Duke,17.7904309384545,6.99580911183016,24.7862400502847,-14.642538994072,0.536877478447799,1,41,68.7051715653576,162,355,32,7,#FF9D23,#FFD197,#FFAA40,#B7D7D6,#EFE6BB,Duke plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Duke performs at a similar level regardless of the pace of the game.
5,Arizona,Arizona,15.08122433869,9.53313735419077,24.6143616928807,-29.1724724027852,34.1900353487306,6,17,72.9237737539979,10,204,33,4,#FFAC44,#FFC072,#FFAB41,#7FAECA,#F6BE96,Arizona plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Arizona plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
6,Kentucky,Kentucky,15.4315103676993,8.94545378015902,24.3769641478583,20.960292858572,30.0920359699109,5,21,69.0177058633695,140,72,26,8,#FFAA40,#FFC47A,#FFAC43,#FFA8A0,#F5C39B,Kentucky plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Kentucky plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
7,Baylor,Baylor,13.0191659514925,10.6628956010128,23.6820615525053,-34.0020629777296,-88.6889548506568,10,12,69.0486233880551,137,76,27,7,#FFB75E,#FFB961,#FFAE48,#72A0C4,#70A6C7,Baylor plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Baylor plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
8,Texas Tech,Texas Tech,8.35596199362156,14.8578679427323,23.2138299363539,-6.54060289480598,16.0556907328193,33,1,67.4672503435469,237,2,27,10,#FFD197,#FF9D23,#FFB04C,#DFEDDB,#F2D3AA,Texas Tech performs at a similar level against both good and bad teams.,Texas Tech performs at a similar level regardless of the pace of the game.
9,Iowa,Iowa,17.4308293170815,5.63935776227143,23.0701870793529,6.26536006937883,30.5039797040525,2,62,70.9873143678705,48,125,26,10,#FF9F27,#FFDAAB,#FFB04D,#FFE5CD,#F5C29A,Iowa performs at a similar level against both good and bad teams.,Iowa plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
10,Tennessee,Tennessee,8.74607241545941,13.2793474507148,22.0254198661742,-42.6009485580761,-66.7836567840414,30,4,68.6137964433018,167,28,27,8,#FFCF93,#FFA83A,#FFB455,#5A86BA,#7CACC5,Tennessee plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Tennessee plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
11,Villanova,Villanova,13.4032025022661,8.55899542181197,21.9621979240781,-25.3948463692205,-35.0422491691978,9,26,64.0701119502932,348,32,30,8,#FFB559,#FFC780,#FFB456,#8ABACE,#B3C8C1,Villanova plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Villanova plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
12,Purdue,Purdue,16.0244394215077,5.00844548910435,21.0328849106121,-16.378268287464,26.1371609418258,4,73,67.302936670953,244,48,29,8,#FFA739,#FFDEB4,#FFB75D,#AFD3D5,#F4C79F,Purdue plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Purdue plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
13,Auburn,Auburn,9.0001235377765,11.5410216253608,20.5411451631373,36.989329772554,6.02611165956577,26,10,71.1984318826892,44,19,28,6,#FFCD8F,#FFB354,#FFB961,#E76776,#F0DFB5,Auburn plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Auburn performs at a similar level regardless of the pace of the game.
14,North Carolina,North Carolina,11.77194047508,8.61396659448294,20.3859070695629,37.1394129411549,-10.1254207618404,15,24,71.0536319686301,46,239,29,10,#FFBE6D,#FFC67F,#FFB962,#E76676,#DDDEBD,North Carolina plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,North Carolina performs at a similar level regardless of the pace of the game.
15,UCLA,UCLA,11.549795734014,8.77393457716831,20.3237303111823,-28.9580594947211,-53.5737038577587,16,23,66.7709618872548,276,75,27,8,#FFBF70,#FFC57D,#FFB962,#80AFCA,#93B8C3,UCLA plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,UCLA plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
16,Memphis,Memphis,9.87364654366217,10.2557644884222,20.1294110320843,75.8302173683281,12.9269817933413,23,16,70.7605064607743,55,24,22,11,#FFC985,#FFBC67,#FFBA64,#93003A,#F1D7AD,Memphis plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Memphis performs at a similar level regardless of the pace of the game.
17,Illinois,Illinois,10.5921608715352,9.33457062366738,19.9267314952026,-30.5108427920922,2.63246187464598,19,19,68.2923950737733,191,115,23,10,#FFC57C,#FFC275,#FFBB65,#7BAAC8,#EFE3B9,Illinois plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Illinois performs at a similar level regardless of the pace of the game.
18,Arkansas,Arkansas,6.44104410309169,11.855229828758,18.2962739318497,29.5430867015977,-6.85000186306663,48,6,71.9521356676439,27,242,28,9,#FFDBAF,#FFB14F,#FFC072,#F38589,#E3E1BD,Arkansas plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Arkansas performs at a similar level regardless of the pace of the game.
19,Texas,Texas,7.67207810899627,10.5654243655258,18.2375024745221,-52.4991038353326,-18.1959841792599,36,13,65.282202722548,335,65,22,12,#FFD5A0,#FFB962,#FFC172,#3669AE,#CFD7BE,Texas plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Texas performs at a similar level regardless of the pace of the game.
20,Virginia Tech,Virginia Tech,11.934146128065,6.29270028226946,18.2268464103345,-9.05068086176712,9.53942319715163,14,50,64.5863064438966,343,46,23,13,#FFBD6B,#FFD5A1,#FFC172,#D2E6DA,#F0DBB1,Virginia Tech performs at a similar level against both good and bad teams.,Virginia Tech performs at a similar level regardless of the pace of the game.
21,Michigan,Michigan,10.7951434934701,6.64589693196962,17.4410404254398,9.90949227883766,19.2559435275048,18,45,67.9386111447241,213,183,19,15,#FFC479,#FFD39C,#FFC378,#FFD6C2,#F3D0A7,Michigan performs at a similar level against both good and bad teams.,Michigan performs at a similar level regardless of the pace of the game.
22,Connecticut,Connecticut,10.8821661336855,6.44924531352738,17.3314114472128,-30.0918286697783,65.3836477920631,17,48,66.1361617699694,315,98,23,10,#FFC378,#FFD49F,#FFC479,#7DABC9,#FC9974,Connecticut plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Connecticut plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
23,Ohio State,Ohio State,12.2813974007196,4.80835946522055,17.0897568659402,-19.5454920860684,18.5169091720353,11,77,66.525961396362,292,106,20,12,#FFBC67,#FFDFB7,#FFC47B,#9FCAD3,#F2D1A7,Ohio State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Ohio State performs at a similar level regardless of the pace of the game.
24,Murray State,Murray State,10.3959033143642,6.50330091295045,16.8992042273147,41.3291523052067,-15.5262815200247,20,47,67.1705464929483,252,16,28,3,#FFC67E,#FFD49E,#FFC57D,#E0556B,#D4D9BE,Murray State plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Murray State performs at a similar level regardless of the pace of the game.
25,Saint Mary's,Saint Mary's,6.28196512318097,10.5132308988539,16.7951960220349,-17.3963288111491,38.5396646951692,50,14,65.2447752305437,337,40,25,8,#FFDCB1,#FFBA63,#FFC57D,#AAD0D4,#F7B991,Saint Mary's plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Saint Mary's plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
26,LSU,LSU,4.62343444023604,11.7241346405815,16.3475690808175,-39.262228998988,40.1422890565089,83,9,69.8090810354194,97,13,22,12,#FFE5C5,#FFB251,#FFC781,#6390BE,#F7B790,LSU plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,LSU plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
