rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,home_rank,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
1,Villanova,Villanova,16.3489937730597,12.600841210491,28.9498349835507,67.9933387098057,-75.4023720385259,3,6,66.7705531655784,287,184,36,5,#FFAB42,#FFAB42,#FF9D23,#95023B,#70A6C7,Villanova plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Villanova plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
2,North Carolina,North Carolina,19.0309329490938,9.69931368003731,28.7302466291311,72.4762893429334,-6.09794686669412,1,22,71.049545783818,66,97,33,7,#FF9D23,#FFBE6D,#FF9E25,#93003A,#E4E1BC,North Carolina plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,North Carolina performs at a similar level regardless of the pace of the game.
3,Virginia,Virginia,13.842278658049,13.1424587686567,26.9847374267058,29.7028368046739,-35.7934143158442,11,4,62.3811299953358,350,38,29,8,#FFB85F,#FFA73A,#FFA432,#F48A8D,#AEC6C1,Virginia plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Virginia plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
4,Kansas,Kansas,13.9842238073028,12.9533286027452,26.937552410048,17.3973732138685,-21.9652392631306,9,5,70.2559247253151,98,155,32,5,#FFB75D,#FFA93C,#FFA432,#FFBAAD,#C7D2BF,Kansas plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Kansas performs at a similar level regardless of the pace of the game.
5,Kentucky,Kentucky,15.6277967204023,9.88945878805459,25.5172555084569,25.8819378786157,-56.5563153262711,5,18,68.6025920140429,188,12,27,9,#FFAF4A,#FFBD6A,#FFA93D,#FA9996,#89B3C4,Kentucky plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Kentucky plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
6,Michigan State,Michigan State,15.4807008819878,9.78606554888429,25.2667664308721,-22.2660765536948,-8.09073181475145,6,21,67.9225636548408,242,280,29,6,#FFB04C,#FFBE6C,#FFAA3F,#8BBBCE,#E0DFBD,Michigan State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Michigan State performs at a similar level regardless of the pace of the game.
7,Indiana,Indiana,18.2949171841684,5.42097743763926,23.7158946218077,-6.57680680213602,-13.1011639365746,2,61,69.1107054093509,154,3,27,8,#FFA12B,#FFDBAD,#FFAF4B,#DBEBDB,#D7DABE,Indiana performs at a similar level against both good and bad teams.,Indiana performs at a similar level regardless of the pace of the game.
8,Oregon,Oregon,14.9872539462122,8.55107683969121,23.5383307859034,44.1447747066866,-4.89346498554263,7,29,68.7315142365548,180,182,30,7,#FFB252,#FFC67E,#FFB04C,#DF5269,#E6E2BC,Oregon plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Oregon performs at a similar level regardless of the pace of the game.
9,Wichita State,Wichita State,8.71722184168443,14.6552919976013,23.3725138392857,-25.113115419115,30.0355339834489,33,1,66.750177931903,288,258,25,9,#FFD29A,#FF9D23,#FFB04D,#82B2CB,#F7B891,Wichita State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Wichita State plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
10,Xavier,Xavier,12.676487893064,9.89336520753623,22.5698531006002,32.7935105273889,-62.1479123814159,14,17,71.9490260044643,45,228,28,6,#FFBE6C,#FFBD6A,#FFB353,#F07E85,#7FADC5,Xavier plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Xavier plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
